
individual 16: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N14(147, 76) ) ( 3, N17(117, 149) ) ( 4, N18(35, 44) ) ( 5, N25(62, 107) ) ( 6, N16(69, 112) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N5(131, 77) ) ( 10, N4(55, 95) ) ( 11, N13(68, 95) ) ( 12, N9(41, 4) ) ( 13, N8(127, 136) ) ( 14, N12(21, 66) ) ( 15, G(1, 2) )( 16, N26(137, 109) ) ( 17, N23(103, 68) ) ( 18, N22(91, 61) ) ( 19, N15(21, 138) ) ( 20, N19(53, 11) ) ( 21, N24(47, 144) ) ( 22, G(1, 3) )( 23, N6(11, 141) ) ( 24, N11(142, 32) ) ( 25, N3(12, 64) ) ( 26, N-1 ) ( 27, N1(69, 24) ) ( 28, N10(52, 3) ) ( 29, G(1, 4) )( 30, N0(34, 0) ) ( 31, N20(122, 33) ) ( 32, N7(95, 142) ) ( 33, N2(128, 8) ) ( 34, N21(23, 64) ) ( 35, N-1 ) 

individual 17: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N14(147, 76) ) ( 3, N17(117, 149) ) ( 4, N5(131, 77) ) ( 5, N24(47, 144) ) ( 6, N2(128, 8) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N15(21, 138) ) ( 10, N19(53, 11) ) ( 11, N21(23, 64) ) ( 12, N22(91, 61) ) ( 13, N1(69, 24) ) ( 14, N6(11, 141) ) ( 15, G(1, 2) )( 16, N12(21, 66) ) ( 17, N7(95, 142) ) ( 18, N11(142, 32) ) ( 19, N18(35, 44) ) ( 20, N23(103, 68) ) ( 21, N8(127, 136) ) ( 22, G(1, 3) )( 23, N4(55, 95) ) ( 24, N25(62, 107) ) ( 25, N0(34, 0) ) ( 26, N10(52, 3) ) ( 27, N9(41, 4) ) ( 28, N16(69, 112) ) ( 29, G(1, 4) )( 30, N26(137, 109) ) ( 31, N-1 ) ( 32, N13(68, 95) ) ( 33, N3(12, 64) ) ( 34, N20(122, 33) ) ( 35, N-1 ) 

individual 18: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N3(12, 64) ) ( 3, N23(103, 68) ) ( 4, N7(95, 142) ) ( 5, N0(34, 0) ) ( 6, N5(131, 77) ) ( 7, N21(23, 64) ) ( 8, G(1, 1) )( 9, N2(128, 8) ) ( 10, N-1 ) ( 11, N6(11, 141) ) ( 12, N24(47, 144) ) ( 13, N20(122, 33) ) ( 14, N-1 ) ( 15, G(1, 2) )( 16, N18(35, 44) ) ( 17, N26(137, 109) ) ( 18, N8(127, 136) ) ( 19, N25(62, 107) ) ( 20, N22(91, 61) ) ( 21, N12(21, 66) ) ( 22, G(1, 3) )( 23, N14(147, 76) ) ( 24, N10(52, 3) ) ( 25, N16(69, 112) ) ( 26, N13(68, 95) ) ( 27, N1(69, 24) ) ( 28, N9(41, 4) ) ( 29, G(1, 4) )( 30, N17(117, 149) ) ( 31, N11(142, 32) ) ( 32, N-1 ) ( 33, N15(21, 138) ) ( 34, N19(53, 11) ) ( 35, N4(55, 95) ) 

individual 19: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N23(103, 68) ) ( 3, N3(12, 64) ) ( 4, N2(128, 8) ) ( 5, N26(137, 109) ) ( 6, N9(41, 4) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N8(127, 136) ) ( 10, N17(117, 149) ) ( 11, N13(68, 95) ) ( 12, N25(62, 107) ) ( 13, N16(69, 112) ) ( 14, N7(95, 142) ) ( 15, G(1, 2) )( 16, N4(55, 95) ) ( 17, N0(34, 0) ) ( 18, N5(131, 77) ) ( 19, N11(142, 32) ) ( 20, N20(122, 33) ) ( 21, N18(35, 44) ) ( 22, G(1, 3) )( 23, N19(53, 11) ) ( 24, N22(91, 61) ) ( 25, N10(52, 3) ) ( 26, N1(69, 24) ) ( 27, N-1 ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N15(21, 138) ) ( 31, N21(23, 64) ) ( 32, N14(147, 76) ) ( 33, N6(11, 141) ) ( 34, N24(47, 144) ) ( 35, N12(21, 66) ) 

individual 20: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N2(128, 8) ) ( 3, N18(35, 44) ) ( 4, N1(69, 24) ) ( 5, N21(23, 64) ) ( 6, N5(131, 77) ) ( 7, N19(53, 11) ) ( 8, G(1, 1) )( 9, N-1 ) ( 10, N11(142, 32) ) ( 11, N7(95, 142) ) ( 12, N6(11, 141) ) ( 13, N25(62, 107) ) ( 14, N0(34, 0) ) ( 15, G(1, 2) )( 16, N15(21, 138) ) ( 17, N20(122, 33) ) ( 18, N23(103, 68) ) ( 19, N8(127, 136) ) ( 20, N14(147, 76) ) ( 21, N22(91, 61) ) ( 22, G(1, 3) )( 23, N9(41, 4) ) ( 24, N17(117, 149) ) ( 25, N24(47, 144) ) ( 26, N-1 ) ( 27, N3(12, 64) ) ( 28, N12(21, 66) ) ( 29, G(1, 4) )( 30, N13(68, 95) ) ( 31, N-1 ) ( 32, N26(137, 109) ) ( 33, N4(55, 95) ) ( 34, N16(69, 112) ) ( 35, N10(52, 3) ) 

individual 21: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N2(128, 8) ) ( 3, N0(34, 0) ) ( 4, N8(127, 136) ) ( 5, N14(147, 76) ) ( 6, N9(41, 4) ) ( 7, N10(52, 3) ) ( 8, G(1, 1) )( 9, N15(21, 138) ) ( 10, N18(35, 44) ) ( 11, N6(11, 141) ) ( 12, N17(117, 149) ) ( 13, N3(12, 64) ) ( 14, N-1 ) ( 15, G(1, 2) )( 16, N1(69, 24) ) ( 17, N11(142, 32) ) ( 18, N22(91, 61) ) ( 19, N23(103, 68) ) ( 20, N21(23, 64) ) ( 21, N20(122, 33) ) ( 22, G(1, 3) )( 23, N16(69, 112) ) ( 24, N7(95, 142) ) ( 25, N5(131, 77) ) ( 26, N19(53, 11) ) ( 27, N-1 ) ( 28, N25(62, 107) ) ( 29, G(1, 4) )( 30, N4(55, 95) ) ( 31, N26(137, 109) ) ( 32, N13(68, 95) ) ( 33, N24(47, 144) ) ( 34, N-1 ) ( 35, N12(21, 66) ) 

individual 22: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N0(34, 0) ) ( 3, N24(47, 144) ) ( 4, N2(128, 8) ) ( 5, N22(91, 61) ) ( 6, N3(12, 64) ) ( 7, N25(62, 107) ) ( 8, G(1, 1) )( 9, N15(21, 138) ) ( 10, N1(69, 24) ) ( 11, N19(53, 11) ) ( 12, N8(127, 136) ) ( 13, N-1 ) ( 14, N21(23, 64) ) ( 15, G(1, 2) )( 16, N6(11, 141) ) ( 17, N12(21, 66) ) ( 18, N20(122, 33) ) ( 19, N-1 ) ( 20, N17(117, 149) ) ( 21, N5(131, 77) ) ( 22, G(1, 3) )( 23, N-1 ) ( 24, N4(55, 95) ) ( 25, N9(41, 4) ) ( 26, N16(69, 112) ) ( 27, N23(103, 68) ) ( 28, N11(142, 32) ) ( 29, G(1, 4) )( 30, N13(68, 95) ) ( 31, N7(95, 142) ) ( 32, N10(52, 3) ) ( 33, N26(137, 109) ) ( 34, N18(35, 44) ) ( 35, N14(147, 76) ) 

individual 23: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N2(128, 8) ) ( 3, N0(34, 0) ) ( 4, N24(47, 144) ) ( 5, N7(95, 142) ) ( 6, N-1 ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N4(55, 95) ) ( 10, N16(69, 112) ) ( 11, N5(131, 77) ) ( 12, N11(142, 32) ) ( 13, N14(147, 76) ) ( 14, N9(41, 4) ) ( 15, G(1, 2) )( 16, N15(21, 138) ) ( 17, N10(52, 3) ) ( 18, N22(91, 61) ) ( 19, N18(35, 44) ) ( 20, N19(53, 11) ) ( 21, N6(11, 141) ) ( 22, G(1, 3) )( 23, N1(69, 24) ) ( 24, N26(137, 109) ) ( 25, N8(127, 136) ) ( 26, N3(12, 64) ) ( 27, N20(122, 33) ) ( 28, N25(62, 107) ) ( 29, G(1, 4) )( 30, N13(68, 95) ) ( 31, N17(117, 149) ) ( 32, N-1 ) ( 33, N21(23, 64) ) ( 34, N23(103, 68) ) ( 35, N12(21, 66) ) 

