 CH's ID: 1
node: 1
nID1: 39, nID2: 304, key value: 343
nID1: 39, nID2: 160, key value: 199
nID1: 14, nID2: 39, key value: 53
nID1: 39, nID2: 302, key value: 341
nID1: 39, nID2: 148, key value: 187
nID1: 39, nID2: 292, key value: 331
nID1: 39, nID2: 159, key value: 198
nID1: 39, nID2: 313, key value: 352
nID1: 39, nID2: 169, key value: 208
nID1: 1, nID2: 39, key value: 40
nID1: 37, nID2: 39, key value: 76
nID1: 39, nID2: 168, key value: 207
nID1: 39, nID2: 157, key value: 196
nID1: 39, nID2: 291, key value: 330
nID1: 1, nID2: 39, key value: 40
nID1: 39, nID2: 290, key value: 329
nID1: 39, nID2: 64, key value: 103
nID1: 14, nID2: 39, key value: 53
nID1: 39, nID2: 157, key value: 196
nID1: 39, nID2: 63, key value: 102
nID1: 39, nID2: 196, key value: 235
nID1: 39, nID2: 40, key value: 79
nID1: 39, nID2: 341, key value: 380
nID1: 39, nID2: 185, key value: 224
nID1: 39, nID2: 198, key value: 237
nID1: 39, nID2: 353, key value: 392
nID1: 39, nID2: 291, key value: 330
nID1: 39, nID2: 302, key value: 341
nID1: 39, nID2: 148, key value: 187
nID1: 39, nID2: 159, key value: 198
nID1: 39, nID2: 304, key value: 343
nID1: 39, nID2: 313, key value: 352
nID1: 37, nID2: 39, key value: 76
nID1: 15, nID2: 39, key value: 54
nID1: 39, nID2: 292, key value: 331
nID1: 39, nID2: 290, key value: 329
nID1: 39, nID2: 303, key value: 342
nID1: 26, nID2: 39, key value: 65
nID1: 39, nID2: 168, key value: 207
nID1: 39, nID2: 314, key value: 353
nID1: 27, nID2: 39, key value: 66
nID1: 28, nID2: 39, key value: 67
nID1: 39, nID2: 316, key value: 355
nID1: 39, nID2: 160, key value: 199
nID1: 39, nID2: 169, key value: 208

node: 183
nID1: 183, nID2: 196, key value: 379
nID1: 50, nID2: 183, key value: 233
nID1: 183, nID2: 195, key value: 378
nID1: 40, nID2: 183, key value: 223
nID1: 183, nID2: 196, key value: 379
nID1: 183, nID2: 195, key value: 378
nID1: 40, nID2: 183, key value: 223
nID1: 50, nID2: 183, key value: 233

node: 327
nID1: 64, nID2: 327, key value: 391
nID1: 327, nID2: 353, key value: 680
nID1: 63, nID2: 327, key value: 390
nID1: 196, nID2: 327, key value: 523
nID1: 185, nID2: 327, key value: 512
nID1: 327, nID2: 341, key value: 668
nID1: 64, nID2: 327, key value: 391
nID1: 327, nID2: 353, key value: 680
nID1: 327, nID2: 341, key value: 668
nID1: 63, nID2: 327, key value: 390
