individual 17: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N15(50, 139) ) ( 3, N10(138, 69) ) ( 4, N11(118, 39) ) ( 5, N29(12, 123) ) ( 6, N20(90, 71) ) ( 7, N19(146, 107) ) ( 8, G(1, 1) )( 9, N7(36, 137) ) ( 10, N6(144, 35) ) ( 11, N26(94, 67) ) ( 12, N17(12, 103) ) ( 13, N-1 ) ( 14, N32(30, 145) ) ( 15, G(1, 2) )( 16, N-1 ) ( 17, N30(78, 53) ) ( 18, N9(94, 117) ) ( 19, N8(80, 69) ) ( 20, N25(118, 35) ) ( 21, N28(122, 7) ) ( 22, G(1, 3) )( 23, N-1 ) ( 24, N23(54, 47) ) ( 25, N16(8, 83) ) ( 26, N14(126, 109) ) ( 27, N24(82, 5) ) ( 28, N18(34, 91) ) ( 29, G(1, 4) )( 30, N27(138, 137) ) ( 31, N31(134, 15) ) ( 32, N13(2, 123) ) ( 33, N12(8, 45) ) ( 34, N21(6, 15) ) ( 35, N22(12, 147) ) 

individual 18: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N25(118, 35) ) ( 3, N20(90, 71) ) ( 4, N16(8, 83) ) ( 5, N22(12, 147) ) ( 6, N26(94, 67) ) ( 7, N21(6, 15) ) ( 8, G(1, 1) )( 9, N-1 ) ( 10, N7(36, 137) ) ( 11, N6(144, 35) ) ( 12, N17(12, 103) ) ( 13, N31(134, 15) ) ( 14, N19(146, 107) ) ( 15, G(1, 2) )( 16, N14(126, 109) ) ( 17, N18(34, 91) ) ( 18, N15(50, 139) ) ( 19, N27(138, 137) ) ( 20, N30(78, 53) ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N32(30, 145) ) ( 24, N29(12, 123) ) ( 25, N8(80, 69) ) ( 26, N28(122, 7) ) ( 27, N11(118, 39) ) ( 28, N23(54, 47) ) ( 29, G(1, 4) )( 30, N24(82, 5) ) ( 31, N10(138, 69) ) ( 32, N12(8, 45) ) ( 33, N13(2, 123) ) ( 34, N9(94, 117) ) ( 35, N-1 ) 

individual 19: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N20(90, 71) ) ( 3, N25(118, 35) ) ( 4, N17(12, 103) ) ( 5, N31(134, 15) ) ( 6, N24(82, 5) ) ( 7, N13(2, 123) ) ( 8, G(1, 1) )( 9, N8(80, 69) ) ( 10, N7(36, 137) ) ( 11, N-1 ) ( 12, N16(8, 83) ) ( 13, N22(12, 147) ) ( 14, N30(78, 53) ) ( 15, G(1, 2) )( 16, N6(144, 35) ) ( 17, N11(118, 39) ) ( 18, N29(12, 123) ) ( 19, N-1 ) ( 20, N9(94, 117) ) ( 21, N32(30, 145) ) ( 22, G(1, 3) )( 23, N28(122, 7) ) ( 24, N-1 ) ( 25, N23(54, 47) ) ( 26, N26(94, 67) ) ( 27, N18(34, 91) ) ( 28, N19(146, 107) ) ( 29, G(1, 4) )( 30, N10(138, 69) ) ( 31, N21(6, 15) ) ( 32, N15(50, 139) ) ( 33, N14(126, 109) ) ( 34, N12(8, 45) ) ( 35, N27(138, 137) ) 

individual 20: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N22(12, 147) ) ( 3, N6(144, 35) ) ( 4, N19(146, 107) ) ( 5, N23(54, 47) ) ( 6, N30(78, 53) ) ( 7, N31(134, 15) ) ( 8, G(1, 1) )( 9, N21(6, 15) ) ( 10, N9(94, 117) ) ( 11, N-1 ) ( 12, N7(36, 137) ) ( 13, N10(138, 69) ) ( 14, N16(8, 83) ) ( 15, G(1, 2) )( 16, N28(122, 7) ) ( 17, N25(118, 35) ) ( 18, N-1 ) ( 19, N12(8, 45) ) ( 20, N11(118, 39) ) ( 21, N17(12, 103) ) ( 22, G(1, 3) )( 23, N15(50, 139) ) ( 24, N14(126, 109) ) ( 25, N-1 ) ( 26, N8(80, 69) ) ( 27, N24(82, 5) ) ( 28, N32(30, 145) ) ( 29, G(1, 4) )( 30, N26(94, 67) ) ( 31, N13(2, 123) ) ( 32, N29(12, 123) ) ( 33, N18(34, 91) ) ( 34, N27(138, 137) ) ( 35, N20(90, 71) ) 

individual 21: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N6(144, 35) ) ( 3, N22(12, 147) ) ( 4, N7(36, 137) ) ( 5, N28(122, 7) ) ( 6, N25(118, 35) ) ( 7, N32(30, 145) ) ( 8, G(1, 1) )( 9, N9(94, 117) ) ( 10, N12(8, 45) ) ( 11, N11(118, 39) ) ( 12, N18(34, 91) ) ( 13, N21(6, 15) ) ( 14, N-1 ) ( 15, G(1, 2) )( 16, N24(82, 5) ) ( 17, N16(8, 83) ) ( 18, N8(80, 69) ) ( 19, N15(50, 139) ) ( 20, N17(12, 103) ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N13(2, 123) ) ( 24, N14(126, 109) ) ( 25, N20(90, 71) ) ( 26, N19(146, 107) ) ( 27, N-1 ) ( 28, N29(12, 123) ) ( 29, G(1, 4) )( 30, N23(54, 47) ) ( 31, N26(94, 67) ) ( 32, N10(138, 69) ) ( 33, N30(78, 53) ) ( 34, N27(138, 137) ) ( 35, N31(134, 15) ) 

individual 22: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N31(134, 15) ) ( 3, N19(146, 107) ) ( 4, N12(8, 45) ) ( 5, N20(90, 71) ) ( 6, N15(50, 139) ) ( 7, N18(34, 91) ) ( 8, G(1, 1) )( 9, N6(144, 35) ) ( 10, N29(12, 123) ) ( 11, N32(30, 145) ) ( 12, N8(80, 69) ) ( 13, N21(6, 15) ) ( 14, N17(12, 103) ) ( 15, G(1, 2) )( 16, N16(8, 83) ) ( 17, N30(78, 53) ) ( 18, N13(2, 123) ) ( 19, N26(94, 67) ) ( 20, N10(138, 69) ) ( 21, N9(94, 117) ) ( 22, G(1, 3) )( 23, N7(36, 137) ) ( 24, N14(126, 109) ) ( 25, N28(122, 7) ) ( 26, N22(12, 147) ) ( 27, N11(118, 39) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N-1 ) ( 31, N24(82, 5) ) ( 32, N27(138, 137) ) ( 33, N25(118, 35) ) ( 34, N-1 ) ( 35, N23(54, 47) ) 

